ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,components,start_dense_data,last_survey_point,data_coverage,data_coverage_recent,index_confidence_score,spatially_interpolated,cowpeas,groundnuts,maize,maize_meal,oil,rice,sugar,wheat_flour,o_cowpeas,h_cowpeas,l_cowpeas,c_cowpeas,inflation_cowpeas,trust_cowpeas,o_groundnuts,h_groundnuts,l_groundnuts,c_groundnuts,inflation_groundnuts,trust_groundnuts,o_maize,h_maize,l_maize,c_maize,inflation_maize,trust_maize,o_maize_meal,h_maize_meal,l_maize_meal,c_maize_meal,inflation_maize_meal,trust_maize_meal,o_oil,h_oil,l_oil,c_oil,inflation_oil,trust_oil,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_sugar,h_sugar,l_sugar,c_sugar,inflation_sugar,trust_sugar,o_wheat_flour,h_wheat_flour,l_wheat_flour,c_wheat_flour,inflation_wheat_flour,trust_wheat_flour,o_food_price_index,h_food_price_index,l_food_price_index,c_food_price_index,inflation_food_price_index,trust_food_price_index,year_month
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-06-01,2009,6,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,4.29,,50.0,23.64,20.0,,34.95,37.19,34.43,37.19,13.92,5.6,50.18,51.87,48.96,51.87,13.78,7.3,5.01,5.51,4.29,4.29,-22.64,8.4,31.51,31.7,31.15,31.15,5.95,8.8,50.54,52.76,48.32,50.0,-3.78,8.3,24.09,24.78,23.39,23.64,2.95,9.1,21.57,21.94,20.0,20.0,-9.69,9.5,29.1,29.33,28.86,29.13,8.99,8.7,0.62,0.63,0.61,0.62,4.34,8.9,2009-06
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-07-01,2009,7,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,5.36,,60.0,21.22,,,36.69,37.68,34.89,34.89,10.06,5.9,52.46,53.95,50.96,51.55,11.75,7.7,4.25,5.36,3.8,5.36,-24.66,8.6,31.35,31.57,31.13,31.39,6.26,9.0,50.8,60.0,48.81,60.0,13.83,8.5,23.72,24.39,21.22,21.22,-8.47,9.2,19.96,20.6,19.39,20.6,-7.15,9.6,29.28,29.51,29.05,29.33,9.02,8.8,0.63,0.64,0.62,0.64,6.21,9.0,2009-07
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-08-01,2009,8,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,4.5,,65.0,20.18,21.0,,35.45,36.46,34.44,36.05,12.7,6.4,51.01,52.38,49.64,51.78,11.84,8.3,5.47,6.08,4.79,4.79,-35.37,8.9,31.53,31.74,31.32,31.59,6.36,9.2,60.57,65.0,56.22,65.0,23.48,8.7,21.21,21.85,20.18,20.18,-19.34,9.3,20.69,21.26,20.11,21.0,-6.91,9.6,29.47,29.69,29.25,29.53,9.97,9.0,0.64,0.65,0.63,0.65,7.2,9.1,2009-08
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-09-01,2009,9,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,5.25,,62.5,,,,35.56,36.49,34.62,35.09,9.65,6.6,52.07,53.38,50.76,51.82,10.89,8.6,4.84,5.38,4.3,5.25,-31.67,9.0,31.73,32.27,31.52,32.27,7.79,9.3,67.51,71.99,62.5,62.5,17.83,8.9,20.1,21.85,19.49,21.85,-11.85,9.4,21.2,21.74,20.67,21.0,-9.38,9.6,29.65,29.87,29.44,29.5,7.43,9.0,0.66,0.67,0.65,0.65,5.91,9.1,2009-09
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-10-01,2009,10,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,6.0,,50.0,,21.0,,35.54,36.35,34.73,36.35,11.38,6.9,51.9,53.12,50.67,52.75,10.87,8.9,5.51,6.08,4.93,6.0,-25.19,9.1,32.34,32.61,32.07,32.22,7.2,9.5,64.73,68.88,50.0,50.0,-7.52,9.0,21.9,22.94,21.22,22.94,-10.53,9.5,21.13,21.62,20.64,21.0,-8.32,9.7,29.66,29.91,29.44,29.91,8.35,9.1,0.66,0.67,0.63,0.63,1.07,9.2,2009-10
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-11-01,2009,11,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,,,66.67,23.97,21.5,,35.81,36.6,35.03,35.94,8.19,7.2,52.57,53.86,51.29,52.58,10.08,9.2,6.32,6.96,5.68,5.94,-31.62,9.3,32.39,32.64,32.14,32.32,7.28,9.5,50.79,66.67,45.81,66.67,24.56,9.2,23.19,23.97,22.47,23.97,-6.52,9.6,21.16,21.61,20.71,21.5,-4.94,9.7,30.05,30.28,29.81,29.96,7.65,9.2,0.63,0.68,0.62,0.68,7.81,9.2,2009-11
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2009-12-01,2009,12,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,6.0,,,24.39,,,36.36,37.12,35.68,37.12,11.38,7.4,52.92,54.14,51.71,54.04,9.87,9.4,6.01,6.63,5.4,6.0,-36.41,9.4,32.48,32.71,32.24,32.33,5.56,9.6,65.39,73.74,57.04,65.77,26.73,9.2,24.29,25.03,23.55,24.39,-6.85,9.6,21.67,22.11,21.23,21.43,-2.75,9.7,30.08,30.48,29.86,30.48,8.79,9.2,0.67,0.69,0.65,0.68,8.32,9.3,2009-12
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-01-01,2010,1,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,,,80.0,21.96,,,36.58,37.84,35.91,37.84,9.05,7.5,53.91,55.27,52.55,54.47,10.42,9.5,5.94,6.89,5.34,6.89,-23.6,9.4,32.5,32.73,32.28,32.44,5.64,9.6,68.14,75.35,60.93,74.65,49.25,9.3,24.7,25.44,21.96,21.96,-13.9,9.6,21.62,22.03,21.21,21.78,0.09,9.8,30.58,30.94,30.31,30.94,8.78,9.2,0.7,0.71,0.68,0.71,12.62,9.3,2010-01
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-02-01,2010,2,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,8.0,,,26.1,21.0,,38.1,38.85,36.88,36.88,5.01,7.8,54.74,56.05,53.43,54.23,9.67,9.7,7.11,8.0,6.41,8.0,1.84,9.6,32.59,33.2,32.37,33.2,7.65,9.7,76.11,83.71,68.36,68.36,36.12,9.4,22.09,26.1,21.38,26.1,3.16,9.6,21.91,22.31,21.0,21.0,-2.13,9.8,30.97,31.25,30.5,30.5,6.38,9.3,0.71,0.73,0.7,0.7,11.79,9.3,2010-02
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-03-01,2010,3,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,7.71,,70.0,28.46,,,36.76,38.45,36.0,38.45,8.69,8.1,54.03,55.63,52.75,55.63,10.15,9.8,8.65,9.45,7.71,7.71,10.9,9.7,33.27,33.56,32.89,32.89,5.27,9.7,70.67,77.24,64.11,68.78,43.76,9.5,26.32,28.46,25.38,28.46,11.67,9.7,21.13,23.53,20.67,23.53,10.5,9.9,30.64,30.95,30.33,30.92,8.5,9.3,0.7,0.72,0.69,0.72,15.85,9.4,2010-03
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-04-01,2010,4,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,,,,,25.0,,38.39,39.33,37.45,38.37,7.56,8.1,55.88,57.4,54.37,55.75,11.35,9.9,8.0,8.77,6.15,6.15,10.55,9.7,33.09,33.38,32.8,33.05,5.89,9.8,69.32,75.16,62.28,62.28,34.23,9.6,29.01,30.05,25.04,25.04,2.99,9.7,23.8,25.0,22.89,25.0,18.25,9.9,31.12,31.4,30.83,31.1,7.44,9.4,0.72,0.74,0.69,0.69,13.74,9.4,2010-04
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-05-01,2010,5,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,,,60.0,,25.0,,38.29,39.1,37.47,38.15,9.69,8.3,55.87,57.23,54.51,55.2,10.07,9.9,5.75,6.41,5.02,5.02,4.42,9.7,33.21,33.48,32.93,33.24,5.99,9.8,62.79,67.93,57.65,60.0,18.44,9.6,25.34,26.32,23.33,23.33,-2.88,9.8,25.64,26.6,24.69,25.0,16.92,9.9,31.21,31.48,30.94,31.26,7.8,9.5,0.7,0.72,0.68,0.68,10.17,9.4,2010-05
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-06-01,2010,6,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,4.0,,60.0,20.49,25.0,,38.3,39.01,37.59,37.81,1.67,8.3,54.76,56.09,53.44,55.41,6.83,9.9,4.54,5.08,4.0,4.0,-6.76,9.7,33.39,33.64,33.12,33.12,6.32,9.8,59.59,64.04,55.13,60.0,20.0,9.6,23.34,24.26,20.49,20.49,-13.32,9.8,25.2,26.07,24.33,25.0,25.0,9.9,31.4,31.65,31.14,31.21,7.14,9.5,0.68,0.69,0.66,0.67,8.0,9.4,2010-06
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-07-01,2010,7,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,4.0,,50.0,23.79,27.5,,37.75,38.38,37.12,38.15,9.35,8.4,55.86,57.32,54.54,57.32,11.19,9.9,3.87,4.29,3.45,4.0,-25.37,9.8,33.31,33.57,33.06,33.22,5.82,9.8,59.65,63.59,50.0,50.0,-16.67,9.7,20.38,23.79,19.54,23.79,12.11,9.8,25.34,27.5,24.57,27.5,33.5,9.9,31.39,31.65,31.14,31.64,7.87,9.6,0.67,0.68,0.66,0.67,4.43,9.4,2010-07
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-08-01,2010,8,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,4.75,,47.5,,,,38.18,40.06,37.61,40.06,11.12,8.2,57.4,58.92,55.88,57.92,11.85,9.9,4.29,4.75,3.88,4.75,-0.93,9.7,33.38,33.71,33.14,33.71,6.69,9.8,50.01,54.01,46.02,47.5,-26.92,9.6,23.83,24.88,22.78,23.84,18.12,9.8,27.85,28.93,25.67,25.67,22.22,9.8,31.78,32.04,31.52,31.86,7.9,9.5,0.67,0.68,0.66,0.67,2.07,9.4,2010-08
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-09-01,2010,9,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,6.0,,50.0,,25.0,,39.66,40.55,37.29,37.29,6.29,8.3,57.93,59.35,56.52,56.89,9.78,9.9,5.27,6.0,4.8,6.0,14.29,9.7,33.82,34.07,33.5,33.5,3.83,9.8,46.46,50.0,43.01,50.0,-20.0,9.6,24.12,25.16,23.09,23.59,7.95,9.8,26.04,27.14,24.93,25.0,19.07,9.8,31.97,32.22,31.73,31.86,7.98,9.6,0.67,0.68,0.66,0.66,1.87,9.4,2010-09
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-10-01,2010,10,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,7.25,,65.0,,25.0,,37.9,38.97,36.83,37.14,2.2,8.3,56.77,58.19,55.36,56.32,6.76,9.9,6.43,7.25,5.82,7.25,20.83,9.7,33.7,33.96,33.45,33.52,4.03,9.8,49.22,65.0,45.77,65.0,30.0,9.6,23.8,24.99,22.79,24.99,8.92,9.8,24.81,25.82,23.81,25.0,19.05,9.8,32.0,32.25,31.76,32.07,7.21,9.6,0.67,0.71,0.66,0.71,11.99,9.4,2010-10
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2010-11-01,2010,11,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,7.0,,33.33,25.61,25.0,,36.88,39.32,35.91,39.32,9.39,8.4,56.17,59.07,54.84,59.07,12.35,9.9,7.4,8.14,6.67,7.0,17.88,9.8,33.7,34.1,33.45,34.1,5.49,9.8,65.22,72.85,40.66,40.66,-39.02,9.7,25.23,26.3,24.17,25.61,6.84,9.8,25.31,26.2,24.42,25.0,16.28,9.8,32.24,32.48,32.01,32.44,8.26,9.6,0.71,0.73,0.66,0.66,-2.12,9.4,2010-11
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-01-01,2011,1,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,7.5,,,25.61,25.0,,37.68,38.9,36.46,37.94,0.27,8.3,56.0,58.19,53.81,56.49,3.7,9.9,6.91,7.56,6.26,7.5,8.9,9.7,34.27,34.53,33.86,33.86,4.38,9.8,66.43,86.8,56.59,86.8,16.28,9.6,26.22,27.29,25.14,25.61,16.62,9.7,25.85,26.59,25.1,25.24,15.92,9.8,32.62,33.03,32.39,33.03,6.77,9.7,0.71,0.77,0.69,0.77,9.08,9.4,2011-01
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-02-01,2011,2,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,,,,,30.0,,37.84,39.58,36.76,39.58,7.31,8.1,56.38,58.08,54.68,57.93,6.81,9.9,7.88,8.57,6.38,6.38,-20.27,9.7,34.07,34.35,33.8,34.1,2.71,9.8,90.12,104.19,76.05,84.14,23.09,9.6,25.83,27.58,24.79,27.58,5.67,9.7,25.24,27.77,24.55,27.77,32.25,9.8,33.14,33.43,32.86,32.98,8.13,9.7,0.79,0.82,0.75,0.78,11.57,9.4,2011-02
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-03-01,2011,3,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,,,,26.86,30.0,,39.32,40.5,38.15,39.58,2.94,8.1,58.78,60.47,57.09,58.51,5.19,9.8,6.46,7.08,5.58,5.58,-27.56,9.7,34.26,34.51,34.0,34.14,3.8,9.7,89.64,101.71,77.57,86.07,25.13,9.5,27.86,28.99,26.73,26.86,-5.62,9.6,28.37,30.0,27.24,30.0,27.48,9.8,33.1,33.35,32.84,33.04,6.86,9.8,0.8,0.83,0.77,0.79,9.57,9.4,2011-03
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-04-01,2011,4,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,,5.0,,,29.53,,,39.68,40.7,38.65,39.35,2.55,8.1,57.79,59.28,56.31,58.24,4.46,9.9,5.36,5.91,4.81,5.0,-18.69,9.7,34.31,34.56,34.02,34.02,2.94,9.8,88.83,99.69,77.96,86.72,39.25,9.6,27.15,29.53,26.06,29.53,17.95,9.6,30.55,32.28,29.33,32.28,29.11,9.8,33.22,33.48,32.97,33.14,6.55,9.7,0.79,0.82,0.76,0.8,15.01,9.4,2011-04
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-05-01,2011,5,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,44.27,59.84,5.0,,84.0,37.14,35.0,,39.33,44.27,38.44,44.27,16.04,8.6,58.63,60.02,57.24,59.84,8.41,10.0,4.75,5.23,4.27,5.0,-0.35,9.8,34.22,34.46,32.73,32.73,-1.53,9.8,88.73,98.34,79.13,84.0,40.0,9.7,29.88,31.09,28.67,29.15,24.95,9.7,33.11,35.0,31.81,35.0,40.0,9.8,33.33,33.77,33.09,33.77,8.04,9.7,0.8,0.83,0.78,0.81,19.38,9.4,2011-05
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-06-01,2011,6,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,44.62,,5.5,36.25,80.0,30.0,,30.0,43.4,45.59,36.93,36.93,-2.33,8.8,60.08,61.59,33.47,33.47,-39.6,10.0,5.1,5.56,4.64,5.5,37.5,9.8,33.08,36.25,32.58,36.25,9.44,9.8,85.37,93.67,77.07,80.0,33.33,9.7,29.53,30.71,28.35,30.0,46.41,9.7,35.74,37.15,34.33,36.43,45.71,9.8,33.88,34.18,30.0,30.0,-3.88,9.6,0.82,0.84,0.72,0.72,8.06,9.4,2011-06
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-07-01,2011,7,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,10.0,25.0,5.33,,,30.0,40.0,30.0,38.2,40.71,26.64,26.64,-30.18,9.0,30.9,38.35,23.44,25.0,-56.39,10.0,5.98,6.48,5.33,5.33,33.25,9.9,35.91,37.13,34.57,34.57,4.08,9.8,80.55,87.7,73.39,80.78,61.57,9.8,30.31,31.51,29.12,30.0,26.1,9.6,37.29,40.0,35.97,40.0,45.45,9.8,30.58,31.95,29.2,30.0,-5.17,9.6,0.73,0.76,0.68,0.68,2.52,9.5,2011-07
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-08-01,2011,8,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,10.25,25.0,5.71,,80.0,30.0,,,27.47,30.88,16.21,16.21,-59.52,9.3,24.45,28.61,20.3,25.0,-56.84,10.0,5.55,6.03,5.07,5.71,20.21,9.9,34.94,36.04,33.07,33.07,-1.88,9.8,80.75,87.1,74.39,80.0,68.42,9.8,30.29,31.47,29.11,30.0,25.86,9.6,40.78,42.38,37.42,37.42,45.78,9.9,30.82,31.68,23.94,23.94,-24.87,9.6,0.67,0.7,0.63,0.63,-5.26,9.5,2011-08
MOZ,Mozambique,Zambezia,Alto_Molocue,Alto Molócuè,-15.63,37.69,gid_-156300000376900000,2011-09-01,2011,9,MZN,"cowpeas (1 KG, Index Weight = 1), groundnuts (1 KG, Index Weight = 1), maize (1 KG, Index Weight = 1), maize_meal (1 KG, Index Weight = 1), oil (1 L, Index Weight = 1), rice (1 KG, Index Weight = 1), sugar (1 KG, Index Weight = 1), wheat_flour (1 KG, Index Weight = 1)",Jan 2007,Jan 2025,15.72,0.78,0.91,0,,20.0,5.5,,,30.0,,,17.16,20.23,12.18,12.18,-67.35,9.3,25.99,28.64,21.82,21.82,-61.65,10.0,5.63,6.12,5.14,5.5,-8.33,10.0,33.45,34.54,31.16,31.16,-6.99,9.8,80.36,85.92,66.23,66.23,32.46,9.8,30.24,31.4,29.08,30.0,27.19,9.6,38.0,39.66,36.32,36.32,45.29,9.9,24.86,26.82,22.9,23.44,-26.41,9.5,0.63,0.65,0.57,0.57,-14.19,9.5,2011-09
